budget,runtime,year,vote_average,popularity,core_actor,actor_avg_age,month,profitable,Horror,Drama,company_freq,google_trend
75000000,116,2023,7.123,136.102,52.0,37.0,3,1,0,1,1,63
35000000,123,2023,7.068,94.98,158.0,37.0,3,1,1,0,1,65
125000000,130,2023,6.57,89.037,29.0,28.0,3,1,0,0,1,71
151000000,134,2023,7.383,80.985,59.0,41.0,3,1,0,0,1,64
45000000,92,2023,6.04,53.314,80.0,23.0,3,1,0,0,1,63
30000000,107,2023,7.263,22.191,63.0,45.0,3,0,0,1,1,66
250000,104,2023,7.9,14.314,10.0,15.0,3,1,0,1,0,66
50000000,101,2021,6.806,69.834,78.0,38.0,2,1,0,0,1,50
45000000,94,2021,6.884,55.844,82.0,60.0,2,0,0,0,1,59
125000000,109,2021,6.605,53.032,80.0,39.0,2,0,0,0,1,52
5000000,88,2021,6.043,36.065,155.0,53.0,2,0,1,0,0,50
26000000,126,2021,7.348,32.929,49.0,34.0,2,0,0,1,1,50
2000000,115,2021,7.4,29.516,42.0,30.0,2,1,0,1,0,50
42000000,110,2020,6.741,70.994,87.0,44.0,3,0,0,0,1,53
14000000,90,2020,6.645,58.038,54.0,39.0,3,0,1,0,1,53
90000000,90,2020,7.321,51.81,64.0,39.0,3,0,0,0,1,53
12000000,115,2020,7.6,35.903,38.0,31.0,3,1,0,1,0,53
23000000,107,2020,6.63,18.199,65.0,55.0,3,0,0,1,1,53
34000000,120,2020,7.139,63.609,63.0,32.0,7,1,0,1,1,50
90000000,93,2020,7.076,40.525,106.0,55.0,7,0,0,0,1,54
33000000,90,2020,6.463,38.506,95.0,37.0,7,1,0,0,1,51
5000000,90,2020,7.3,35.261,64.0,50.0,7,0,0,0,0,54
15000000,91,2020,5.205,22.055,82.0,56.0,7,0,0,0,1,56
35000000,137,2020,7.0,21.875,27.0,20.0,7,0,0,1,1,52
4500000,101,2020,5.6,19.079,69.0,28.0,7,0,0,0,0,50
146000000,131,2022,6.324,73.258,81.0,47.0,2,0,0,0,1,58
120000000,116,2022,7.0,70.902,106.0,47.0,2,1,0,0,1,61
20000000,101,2022,7.331,45.605,65.0,23.0,2,1,0,1,1,63
43000000,104,2022,6.196,44.955,102.0,54.0,2,0,0,1,0,61
90000000,127,2022,6.4,42.168,78.0,54.0,2,1,0,0,1,61
5000000,106,2022,7.108,41.454,38.0,31.0,2,0,0,1,1,60
10000000,96,2022,6.8,31.265,37.0,50.0,2,1,0,0,1,58
23000000,112,2022,6.7,26.892,64.0,46.0,2,1,0,0,1,61
