budget,runtime,year,vote_average,popularity,core_actor,actor_avg_age,month,profitable,Drama,Horror,company_freq,google_trend
-0.3664,-1.0211,1.193,0.4351,1.1039,0.2747,-0.72,0.5745,1,1.3145,-0.4822,0.755,-0.3238
0.3705,1.0079,1.193,0.4238,0.9977,-0.6075,-0.8648,0.5745,1,-0.7589,-0.4822,-1.3213,0.387
-0.6169,0.235,1.193,0.7102,0.6746,-0.8351,1.3786,0.5745,1,-0.7589,2.069,0.755,0.387
-0.2411,-0.1515,1.193,0.0246,0.6216,-0.8636,-1.0819,0.5745,1,-0.7589,2.069,0.755,0.4885
-0.6021,-0.9728,1.193,0.2277,0.244,-0.6929,-1.1542,0.5745,0,1.3145,-0.4822,0.755,-0.0192
0.0757,-0.4414,1.193,-0.1362,-0.0937,0.417,1.0168,0.5745,1,-0.7589,-0.4822,0.755,-0.0192
-0.3664,-0.4414,1.193,0.0091,-0.1122,0.047,0.2207,0.5745,0,1.3145,-0.4822,-1.3213,-0.0192
-0.0716,-0.7312,1.193,-0.9037,-0.3059,-0.5221,-1.8779,0.5745,0,-0.7589,-0.4822,-1.3213,-0.0192
-0.7569,-0.6346,1.193,-1.4017,-0.4909,-1.1766,-0.9371,0.5745,0,-0.7589,-0.4822,-1.3213,-0.0192
-0.7716,-0.1998,1.193,0.4323,-0.683,-1.4612,-2.2397,0.5745,0,-0.7589,2.069,-1.3213,-0.0192
1.6968,0.863,0.283,1.9842,0.8375,0.7585,0.6549,-0.5623,1,1.3145,-0.4822,0.755,-0.1207
2.1389,0.6215,0.283,0.7257,0.3438,-0.0099,0.076,-0.5623,1,-0.7589,-0.4822,0.755,-0.6284
-0.6316,-0.9245,0.283,-1.6867,-0.0553,-0.4083,2.1023,-0.5623,1,-0.7589,2.069,0.755,-0.6284
0.2231,-0.6829,0.283,0.287,-0.3963,0.0186,-0.1411,-0.5623,0,-0.7589,-0.4822,0.755,-0.4254
-0.7127,-0.6346,0.283,-0.9164,-0.4436,-0.3798,-0.2858,-0.5623,1,-0.7589,2.069,-1.3213,-0.4254
-0.4106,-0.2965,0.283,-0.9771,-0.6143,0.3316,0.2931,-0.5623,0,1.3145,2.069,0.755,-0.1207
-0.2485,-0.538,0.283,0.2475,-0.6315,-0.9205,0.5102,-0.5623,0,-0.7589,-0.4822,0.755,-0.1207
-0.7348,-1.311,0.283,0.1501,-0.7474,-1.6319,-1.4437,-0.5623,0,-0.7589,-0.4822,-1.3213,-0.4254
2.1389,1.0079,-0.627,1.7401,1.7458,0.6731,0.3655,-0.5623,1,-0.7589,-0.4822,0.755,-1.0346
-0.2337,-0.1032,-0.627,0.9331,0.2222,0.5024,0.2207,-0.5623,1,-0.7589,2.069,0.755,-1.0346
0.0905,-0.8279,-0.627,0.9896,0.1635,0.73,-0.3582,-0.5623,1,-0.7589,2.069,0.755,-1.0346
2.1389,1.4427,-0.627,0.4309,-0.1918,0.6731,0.5102,-0.5623,1,-0.7589,-0.4822,0.755,-1.0346
0.5178,1.6843,-0.627,-0.7838,-0.2775,2.9497,0.1484,-0.5623,1,1.3145,2.069,-1.3213,-0.9331
-0.3664,-1.2144,-0.627,0.7145,-0.3641,-0.0383,-1.5884,-0.5623,0,-0.7589,-0.4822,0.755,-1.0346
-0.5137,-0.6346,-0.627,-0.1842,-0.4431,0.4454,-0.5753,-0.5623,1,-0.7589,-0.4822,0.755,-1.3392
-0.5137,-0.0066,-0.627,0.366,-0.6292,-0.8351,1.5957,-0.5623,0,1.3145,-0.4822,0.755,-1.0346
