budget,runtime,year,release_date,genres,vote_average,popularity,core_actor,actor_avg_age,production_companies,month,profitable,Romance,Science Fiction,Action,Drama,Thriller,Adventure,Mystery,Fantasy,Comedy,Family,Crime,Music,Documentary,History,Horror,Animation,Western,War
21000000.0,107.0,2020.0,2020/4/16,"['Drama', 'Romance']",7.284,20.337,56.0,56.0,"[100460, 73666, 911, 135943, 99962, 135953, 135954]",4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000000.0,93.0,2023.0,2023/4/5,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']",7.679,264.319,58.0,40.0,"[33, 6704, 12288]",4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25000000.0,96.0,2023.0,2023/4/4,"['Romance', 'Drama', 'Comedy']",6.7,122.763,33.0,29.0,"[6626, 107108]",4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15000000.0,96.0,2023.0,2023/4/12,"['Horror', 'Thriller']",6.959,100.174,6.0,0.0,"[174, 12, 7893, 467, 768, 129815]",4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18000000.0,103.0,2023.0,2023/4/5,"['Horror', 'Thriller']",7.0,88.558,95.0,41.0,"[3287, 84792, 177896]",4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55000000.0,123.0,2023.0,2023/4/19,"['War', 'Action', 'Thriller']",7.782,83.215,100.0,41.0,"[47729, 2900]",4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60000000.0,113.0,2023.0,2023/4/27,"['Fantasy', 'Action', 'Adventure']",6.453,80.68,54.0,37.0,"[11341, 5542, 7417]",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
80000000.0,111.0,2023.0,2023/4/5,['Drama'],7.357,50.173,98.0,53.0,"[20580, 173807, 551, 187968]",4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65000000.0,93.0,2023.0,2023/4/7,"['Comedy', 'Horror', 'Fantasy']",6.571,46.58,155.0,43.0,"[50032, 33, 197279]",4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35000000.0,179.0,2023.0,2023/4/14,"['Comedy', 'Adventure', 'Fantasy']",6.755,38.693,42.0,60.0,"[41077, 123620, 142269, 103376]",4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000000.0,98.0,2023.0,2023/4/14,"['Horror', 'Thriller']",6.94,33.053,22.0,56.0,"[3308, 202493]",4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41000000.0,101.0,2023.0,2023/4/13,"['Comedy', 'Crime', 'Action']",6.145,30.022,62.0,47.0,"[151425, 150656, 67285, 290, 9987, 118715]",4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
